,language,mean_uuas_linear,mean_uuas_random_nonproj,mean_uuas_random_proj,total_n_edges,mean_n_edges,median_n_edges,std_n_edges,total_n_common_linear,total_n_common_random_nonproj,total_n_common_random_proj,total_uuas_linear,total_uuas_random_nonproj,total_uuas_random_proj,mean_uuas_nonproj.sum,mean_uuas_nonproj.triu,mean_uuas_nonproj.tril,mean_uuas_nonproj.none,mean_uuas_proj.sum,mean_uuas_proj.triu,mean_uuas_proj.tril,mean_uuas_proj.none,total_n_common_nonproj.sum,total_n_common_nonproj.triu,total_n_common_nonproj.tril,total_n_common_nonproj.none,total_n_common_proj.sum,total_n_common_proj.triu,total_n_common_proj.tril,total_n_common_proj.none,total_uuas_nonproj.sum,total_uuas_nonproj.triu,total_uuas_nonproj.tril,total_uuas_nonproj.none,total_uuas_proj.sum,total_uuas_proj.triu,total_uuas_proj.tril,total_uuas_proj.none,proj.sum uuas / linear uuas,nonproj.sum uuas / linear uuas,mean_uuas_linear (abs),mean_uuas_random_nonproj (abs),mean_uuas_random_proj (abs),total_n_edges (abs),mean_n_edges (abs),median_n_edges (abs),std_n_edges (abs),total_n_common_linear (abs),total_n_common_random_nonproj (abs),total_n_common_random_proj (abs),total_uuas_linear (abs),total_uuas_random_nonproj (abs),total_uuas_random_proj (abs),mean_uuas_nonproj.sum (abs),mean_uuas_nonproj.triu (abs),mean_uuas_nonproj.tril (abs),mean_uuas_nonproj.none (abs),mean_uuas_proj.sum (abs),mean_uuas_proj.triu (abs),mean_uuas_proj.tril (abs),mean_uuas_proj.none (abs),total_n_common_nonproj.sum (abs),total_n_common_nonproj.triu (abs),total_n_common_nonproj.tril (abs),total_n_common_nonproj.none (abs),total_n_common_proj.sum (abs),total_n_common_proj.triu (abs),total_n_common_proj.tril (abs),total_n_common_proj.none (abs),total_uuas_nonproj.sum (abs),total_uuas_nonproj.triu (abs),total_uuas_nonproj.tril (abs),total_uuas_nonproj.none (abs),total_uuas_proj.sum (abs),total_uuas_proj.triu (abs),total_uuas_proj.tril (abs),total_uuas_proj.none (abs),proj.sum uuas / linear uuas (abs),nonproj.sum uuas / linear uuas (abs)
0,Arabic,0.5892209128419175,0.1365391192058446,0.2912495720489144,17523,17.523,17.0,7.892494599301289,10177,1868,4761,0.5807795468812418,0.10660275067054728,0.2717000513610683,0.4445059519416609,0.41664038244718415,0.42075316939639335,0.45369389989042486,0.4670331065771285,0.4498558927655181,0.4506270773881645,0.45686894414421464,7463,6961,7007,7598,7939,7620,7609,7714,0.42589739199908694,0.3972493294527193,0.39987445072190836,0.43360155224562,0.45306169034982596,0.43485704502653655,0.4342292986360783,0.4402214232722707,0.7800923651370738,0.7333202318954506,0.5892209128419175,0.137693514587841,0.2892525776751878,17523,17.523,17.0,7.892494599301289,10177,1881,4736,0.5807795468812418,0.10734463276836158,0.27027335501911776,0.5001575522688576,0.4586544565900814,0.4645583419109221,0.4934648800102749,0.5272584594244519,0.49191327324378026,0.4987748027344183,0.5005040479167691,8369,7617,7699,8210,8916,8283,8396,8441,0.4776008674313759,0.4346858414655025,0.4393654054671004,0.46852707869657023,0.5088169833932545,0.4726930320150659,0.4791416994806825,0.48170975289619355,0.8760931512233467,0.8223445023091285
1,Chinese,0.4614089832044699,0.13269810444159416,0.2403669551110383,17513,17.513,17.0,7.502654930089748,7935,1872,3953,0.4530919888083138,0.10689202306857763,0.22571803802889281,0.39019919368960476,0.3755470020546064,0.36935178669362984,0.40095903396752636,0.4143675241706177,0.4028130994337539,0.3965454155650618,0.40636624059977783,6586,6301,6140,6718,7046,6833,6692,6872,0.3760634956889168,0.35978987038200194,0.3505966995945869,0.3836007537258037,0.4023296979386741,0.39016730428824303,0.3821161422942957,0.39239422143550506,0.8879647132955262,0.8299936988027725,0.4614089832044699,0.13656073471678054,0.24928339824539364,17513,17.513,17.0,7.502654930089748,7935,1904,4058,0.4530919888083138,0.10871923713812597,0.2317135841945983,0.4106745910373655,0.38728523407107274,0.3752829131294967,0.4018536578976344,0.435355260832219,0.41922979551402545,0.4033379201700001,0.4191705046604567,6886,6458,6219,6690,7365,7084,6773,7043,0.39319362759093246,0.36875463941072345,0.35510763432878434,0.3820019414149489,0.4205447381944841,0.40449951464626277,0.3867412779078399,0.40215839661965397,0.9281663516068054,0.8678008821676119
2,Czech,0.48953233514663064,0.15075777515888816,0.26956389547108334,14986,14.986,14.0,6.666318624248319,7193,1807,3752,0.47998131589483517,0.12057920726010944,0.25036700920859467,0.48379026953714405,0.45508169463837467,0.4589277546051163,0.49201928774425685,0.4960058859546415,0.47169337208730866,0.47886990314450234,0.48174057075736393,7023,6549,6629,7124,7237,6851,6957,6996,0.4686373949019084,0.43700787401574803,0.4423461897771253,0.4753770185506473,0.4829173895635927,0.45716001601494727,0.4642332843987722,0.4668357133324436,1.0061170582510774,0.9763659113026554,0.48953233514663064,0.1562220951602787,0.2717062965498495,14986,14.986,14.0,6.666318624248319,7193,1856,3765,0.47998131589483517,0.12384892566395302,0.2512344855198185,0.4971846169221965,0.45487123980131794,0.4648628649687656,0.4877409949656284,0.5100592144673748,0.4760100924085111,0.4855521536732066,0.4879759094033154,7193,6516,6666,7026,7425,6875,7036,7029,0.47998131589483517,0.4348058187641799,0.4448151608167623,0.4688375817429601,0.4954624316028293,0.45876151074336047,0.4695048712131323,0.46903776858401175,1.0322535798693175,1.0
3,English,0.4261612946802458,0.12702681623200973,0.2400896688591664,17725,17.725,17.0,7.362837428600471,7440,1832,3980,0.41974612129760225,0.10335684062059239,0.22454160789844851,0.4245736027059227,0.4041544793264516,0.41166465453891493,0.4318766404667384,0.44360859955408655,0.4268926595594045,0.43194168603640903,0.4327754278071751,7285,6871,7055,7401,7686,7341,7480,7475,0.41100141043723554,0.38764456981664314,0.3980253878702398,0.41754583921015515,0.43362482369534555,0.4141607898448519,0.4220028208744711,0.4217207334273625,1.0330645161290322,0.9791666666666666,0.4261612946802458,0.12880839927002477,0.2405858294735571,17725,17.725,17.0,7.362837428600471,7440,1884,3994,0.41974612129760225,0.10629055007052186,0.2253314527503526,0.4478051950972954,0.4052972203823933,0.4299330157848309,0.4365541424585846,0.4650684028662178,0.4301528514704927,0.4570617456952821,0.4423483662082904,7683,6870,7368,7458,8041,7367,7902,7632,0.4334555712270804,0.38758815232722144,0.41568406205923836,0.42076163610719325,0.4536530324400564,0.41562764456981666,0.4458110014104372,0.43057827926657266,1.0807795698924731,1.0326612903225807
4,Finnish,0.5301493072668604,0.18137760009303988,0.2981692184228123,12474,12.474,12.0,5.549894053042815,6462,1822,3438,0.5180375180375181,0.1460638127304794,0.2756132756132756,0.4696432759960661,0.44517420897943166,0.45627201825253905,0.4829187536966552,0.4843411312610347,0.4639674110254003,0.47121067863681493,0.47875314495136573,5664,5338,5427,5791,5845,5601,5652,5746,0.45406445406445406,0.4279300945967613,0.43506493506493504,0.4642456309122976,0.4685746352413019,0.44901394901394903,0.4531024531024531,0.460638127304794,0.9045187248529866,0.8765088207985143,0.5301493072668604,0.18085280448882787,0.2941943320595011,12474,12.474,12.0,5.549894053042815,6462,1798,3339,0.5180375180375181,0.14413981080647748,0.2676767676767677,0.47862796847941963,0.436515631018577,0.446419471222963,0.4710782250241946,0.49852816352951823,0.46192970656136767,0.47499961428889725,0.47959194533134997,5692,5183,5286,5579,5975,5525,5684,5696,0.4563091229757896,0.4155042488375822,0.4237614237614238,0.44725028058361394,0.4789963123296457,0.4429212762546096,0.4556677890011223,0.4566297899631233,0.9246363354998453,0.8808418446301454
5,French,0.45949783914726006,0.10758714602448029,0.2407070589023185,21180,21.18,20.0,9.06,9583,1799,4800,0.4524551463644948,0.08493862134088763,0.22662889518413598,0.45370596391739626,0.4347314585656235,0.4283852086169612,0.4572743691617423,0.4755026906583971,0.4618257090338636,0.4538129247447456,0.4474641632389563,9356,8919,8753,9415,9886,9578,9366,9270,0.44173748819641173,0.42110481586402265,0.41326723323890463,0.44452313503305,0.4667610953729934,0.452219074598678,0.44220963172804534,0.4376770538243626,1.0316184910779505,0.9763122195554629,0.45949783914726006,0.10821234498869352,0.23705406585244088,21180,21.18,20.0,9.06,9583,1856,4720,0.4524551463644948,0.08762983947119925,0.22285174693106705,0.4765361813888354,0.4346315849831917,0.44411218164223887,0.46052926494574187,0.4985989797714075,0.46178867689387915,0.4751216188881565,0.4543105742954596,9838,8880,9079,9458,10380,9524,9829,9416,0.46449480642115204,0.4192634560906516,0.4286591123701605,0.4465533522190746,0.49008498583569404,0.44966949952785645,0.4640698772426818,0.4445703493862134,1.0831681101951371,1.026609621204216
6,German,0.4259586146412643,0.13360568185881994,0.24052874410763242,17558,17.558,17.0,7.42055496576907,7343,1889,3941,0.4182139195808179,0.10758628545392414,0.22445608839275544,0.45203858540408975,0.4346426416319231,0.42464438210679545,0.45668816657821926,0.4686254125000418,0.457045813396228,0.44709853204152716,0.4457612716971259,7725,7389,7235,7801,8044,7825,7652,7642,0.4399703838706003,0.42083380795079167,0.4120628773208794,0.44429889509055703,0.4581387401754186,0.44566579337054335,0.4358127349356419,0.4352431939856476,1.095465068772981,1.0520223341958326,0.4259586146412643,0.13108453946544968,0.23685180226973682,17558,17.558,17.0,7.42055496576907,7343,1866,3892,0.4182139195808179,0.10627634126893723,0.22166533773778335,0.470207092887096,0.43951671805832576,0.43045889801337767,0.45806646894275843,0.4887284956484491,0.4592561965928572,0.45765559301501607,0.4499883808336576,8048,7437,7356,7812,8418,7838,7883,7711,0.45836655655541636,0.4235676045107643,0.41895432281581046,0.44492539013555077,0.4794395717052056,0.44640619660553593,0.4489691308805103,0.43917302654060825,1.1463979300013618,1.096009805256707
7,Hindi,0.5218406399209379,0.11234983312117762,0.25316679019168786,20532,20.532,20.0,8.788001820664354,10562,1851,4879,0.5144165205532827,0.09015195791934541,0.23762906682252094,0.3960548270971176,0.36417608649480715,0.3849206366238378,0.40581764883450466,0.42182189419843996,0.39274827970852616,0.4161654810031555,0.4147992394833948,7850,7186,7588,7995,8441,7834,8284,8220,0.382330021429963,0.3499902591077343,0.36956945256185464,0.38939216832261836,0.4111143580751997,0.3815507500487045,0.4034677576466004,0.40035067212156633,0.7991857602726756,0.7432304487786404,0.5218406399209379,0.11264789692401746,0.2530766291041668,20532,20.532,20.0,8.788001820664354,10562,1872,4922,0.5144165205532827,0.09117475160724722,0.23972335865965322,0.40596413764632816,0.3656706240624893,0.38097547613604943,0.39560987328179914,0.43468859639410484,0.40333819622844713,0.4148559316482555,0.41524785076634657,7994,7145,7413,7718,8632,7983,8204,8175,0.3893434638612897,0.3479933761932593,0.36104617182933957,0.3759010325345802,0.4204169101889733,0.3888077147866745,0.39957140074030784,0.39815897136177675,0.8172694565423215,0.7568642302594206
8,Icelandic,0.5019249863283309,0.1437915232333134,0.26938253536486,15880,15.88,15.0,7.01253163985732,7832,1844,3995,0.49319899244332494,0.11612090680100756,0.2515743073047859,0.4153224502981587,0.3857495985421011,0.3916374751396553,0.4258923630128577,0.4332231952041465,0.41333366985478176,0.4123039518997143,0.43007830307579775,6413,5900,6045,6559,6730,6374,6411,6643,0.4038413098236776,0.371536523929471,0.38066750629722923,0.4130352644836272,0.4238035264483627,0.4013853904282116,0.4037153652392947,0.4183249370277078,0.8592951991828396,0.8188202247191012,0.5019249863283309,0.14956102982620387,0.2778327319163833,15880,15.88,15.0,7.01253163985732,7832,1887,4091,0.49319899244332494,0.1188287153652393,0.25761964735516374,0.42688851934857636,0.3890353146620007,0.39048807549652453,0.4167589940045202,0.4508254382029273,0.4177001580141986,0.42253037899789797,0.42923722245925683,6559,5939,5957,6380,6983,6449,6513,6607,0.4130352644836272,0.37399244332493703,0.37512594458438286,0.4017632241813602,0.43973551637279595,0.4061083123425693,0.41013853904282116,0.4160579345088161,0.8915985699693565,0.8374616956077631
9,Indonesian,0.5648699458901832,0.14681163440155404,0.28824440160864045,16056,16.056,16.0,6.832193205699031,8961,1900,4343,0.5581091180866966,0.11833582461385152,0.27049078226208273,0.4505625292759298,0.4262572516246644,0.42598663258848557,0.4643245111738528,0.47523805691466187,0.46064035195432756,0.45600493511094126,0.46999054610843793,6994,6568,6604,7205,7457,7157,7147,7346,0.4356003986048829,0.4090682610861983,0.41131041355256603,0.4487419033383159,0.4644369706028899,0.44575236671649227,0.4451295465869457,0.45752366716492276,0.8321615891083585,0.7804932485213704,0.5648699458901832,0.1463890456892362,0.28868148539595073,16056,16.056,16.0,6.832193205699031,8961,1894,4345,0.5581091180866966,0.11796213253612357,0.27061534628799205,0.4772975512728358,0.4358879111586616,0.4383676167457872,0.4702778254558992,0.5031021747131416,0.4674195893215606,0.4710573763571582,0.47928123713112564,7381,6723,6778,7275,7851,7277,7367,7476,0.4597035376183358,0.4187219730941704,0.4221474838066766,0.453101644245142,0.4889760837070254,0.4532262082710513,0.4588315894369706,0.4656203288490284,0.8761298962169399,0.823680392813302
